label	text_a
1	My boyfriend is half black . Sorry , I’m such a pessimist . He’s half white .
0	platform : guest worker program to keep big business flush w / cheap foreign labor #gop2012
1	 . tweeted this last year! enough said , i'll leave it right here . #draintheswamp #trumptrain #trump2016
1	"Wanna hear the biggest lie? ""Men and women deserve equal rights"""
0	thanks for sharing our article  chad ! sorry the wrong link popped up  here is the correct one : 
1	keep up the good work , let's dox these fuckers
1	can #islam and the civilized world coexist? #tcot #bancair #islamistheproblem
2	so now you're really going after the drunken white trash demographic  eh ?
1	i can tell you how to do that get rid of all the illegal immigrants in this state . th
1	good  they want illegals , watch what you wish for .
0	cuck erickson : white supremacists crying into their swastikas
1	white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .
1	" white apathy toward  "" white genocide "" "" is pathetic & a great betrayal > it is real so why no government intervention ? """
1	What does a redneck girl say when she meets her first lover? Hi dad!
1	and it's a shot into their own foot . white nationalism was what actually build america  p
2	black face uncle tom this your thanks to the slaves who died for you you always be igger smiling in white mans face
0	america needs a new cuck liberal party
0	germany spent 20 billion on invasion in 2016 #swrm #germany #invasion via
0	" you twist it as they do . you try to make islam look like what  "" jihadists "" "" do is right in islam . you have the same vkews . """
0	iowa : outrage after students wear patriotic attire to basketball game  deemed offensive daily stormer
0	this is where the problem . friends of bjp should remain with bjp  diff can always be sort out .
0	where da white wimman at ?
1	gov . perry's state has sucked in hundreds of thousands of illegals from other states , bama included
1	you're not racist . you just have a good head on your shoulders .
1	well , they should be . fight , alienate em , on behalf of our 'allies' invite em here! duh!
1	so should legal aliens sue our immigration dept for making them pay financially and waited for years??
0	nr is way back in the rear view mirror . egop quislings for sure .
0	in my unsolicited opinion heritage pride ( even european / white ) should be fine & not about hate
1	universities teaching white-developed academics  on the backs of historic white intellectuals .
0	" in yer opinion they are  "" racist neo-nazis "" "" . yer just saying that cuz they're white . """
0	ah  they are re-branding white genocide as the un-whitening of america .nice
0	he is leading the young white supremacists of fake twitter profiles race baiting by selecting blacks in their profile ... that's about it
1	that is what #diversity is . erasing and replacing white people .
0	#varungandhi is fake gandhi but more truthful kaviraj than #kumarvishwas
0	what our race has lost : a look at the last of the aryans of asia | read more : 
0	and enslaved africans built white house
